code,name,unit,preunit
BPFY,Trade in Goods: Jewellery (897C): WW: Exports: BOP: CVM: SA,NA,NA
BPGC,Trade in Goods: Fuels (3): WW: Imports: BOP: IDEF: SA,NA,NA
BPGG,Trade in Goods: Crude oil (33O): WW: Imports: BOP: IDEF: SA,NA,NA
BPGH,Trade in Goods: Refined oil (33R): WW: Imports: BOP: IDEF: SA,NA,NA
BPGI,Trade in Goods: Fuels other than oil (3OF): WW: Imports: BOP: IDEF: SA,NA,NA
BPGQ,Trade in Goods: Erratics (E): WW: Imports: BOP: IDEF: SA,NA,NA
BPGT,Trade in Goods less erratics (TlessE): WW: Imports: BOP: IDEF: SA,NA,NA
BPGU,Trade in Goods less oil (TlessO): WW: Imports: BOP: IDEF: SA,NA,NA
BPGV,Trade in Goods less oil & erratics (TlessOE): WW: Imports: BOP: IDEF: SA,NA,NA
BPGW,Trade in Goods (T): WW: Imports: BOP: IDEF: SA,NA,NA
BPGX,Trade in Goods: Oil (33): WW: Imports: BOP: IDEF: SA,NA,NA
BPIA,"Trade in Goods: Food, beverages & tobacco (0and1): WW: Imports: BOP: CVM: SA",NA,NA
BPIB,Trade in Goods: Basic materials (2and4): WW: Imports: BOP: CVM: SA,NA,NA
BPIC,Trade in Goods: Fuels (3): WW: Imports: BOP: CVM: SA,NA,NA
BPID,Trade in Goods: Semi-manufactures (5and6): WW: Imports: BOP: CVM: SA,NA,NA
BPIE,Trade in Goods: Finished manufactures (7and8): WW: Imports: BOP: CVM: SA,NA,NA
BPIF,Trade in Goods: Unspecified goods (9): WW: Imports: BOP: CVM: SA,NA,NA
BPIG,Trade in Goods: Crude oil (33O): WW: Imports: BOP: CVM: SA,NA,NA
BPIH,Trade in Goods: Refined oil (33R): WW: Imports: BOP: CVM: SA,NA,NA
BPII,Trade in Goods: Fuels other than oil (3OF): WW: Imports: BOP: CVM: SA,NA,NA
BPIQ,Trade in Goods: Erratics (E): WW: Imports: BOP: CVM: SA,NA,NA
BPIS,Trade in Goods: Manufactures (5to8): WW: Imports: BOP: CVM: SA,NA,NA
BPIT,Trade in Goods less erratics (TlessE): WW: Imports: BOP: CVM: SA,NA,NA
BPIV,Trade in Goods less oil & erratics (TlessOE): WW: Imports: BOP: CVM: SA,NA,NA
BPIX,Trade in Goods: Oil (33): WW: Imports: BOP: CVM: SA,NA,NA
BQAN,Trade in Goods less oil (TlessO): WW: Exports: BOP: CVM: SA,NA,NA
BQAO,Trade in Goods: Unspecified goods (9): WW: Imports: BOP: CP: NSA,NA,NA
BQAQ,Trade in Goods: Oil (33): WW: Imports: BOP: CP: NSA,NA,NA
BQAR,"Trade in Goods: Food, beverages & tobacco (0and1): WW: Imports: BOP: CP: SA",m,£
BQAS,Trade in Goods: Basic materials (2and4): WW: Imports: BOP: CP: SA,m,£
BQAT,Trade in Goods: Fuels (3): WW: Imports: BOP: CP: SA,NA,NA
BQAU,Trade in Goods: Semi-manufactures (5and6): WW: Imports: BOP: CP: SA,m,£
BQAV,Trade in Goods: Finished manufactures (7and8): WW: Imports: BOP: CP: SA,m,£
BQAW,Trade in Goods: Unspecified goods (9): WW: Imports: BOP: CP: SA,m,£
BQAX,Trade in Goods: Crude oil (33O): WW: Imports: BOP: Av value per ton: SA,NA,NA
BQAY,Trade in Goods: Refined oil (33R): WW: Imports: BOP: CP: SA,NA,NA
BQBB,Trade in Goods: Erratics (E): WW: Imports: BOP: CP: SA,NA,NA
BQBD,Trade in Goods: Manufactures (5to8): WW: Imports: BOP: CP: SA,NA,NA
BQBE,Trade in Goods less erratics (TlessE): WW: Imports: BOP: CP: SA,m,£
