variable,value,dates.date,dates.freq
LNNK,31.9,1981-01-01,a
LNNL,30.9,1981-01-01,a
LOJE,7.8,1981-01-01,a
DIX4,74.4,1982-01-01,a
DMWN,4.1,1982-01-01,a
FZLN,60.4,1982-01-01,a
FZLR,-3.5,1982-01-01,a
FZLT,19.3,1982-01-01,a
FZLX,8.7,1982-01-01,a
LNNK,33.4,1982-01-01,a
LNNL,32.1,1982-01-01,a
LOJE,4.6,1982-01-01,a
DIX4,75.7,1983-01-01,a
DJ4J,1.8,1983-01-01,a
DMWN,3.1,1983-01-01,a
FZLN,58.4,1983-01-01,a
FZLR,-3.3,1983-01-01,a
FZLT,20.9,1983-01-01,a
FZLX,8.2,1983-01-01,a
LNNK,34.4,1983-01-01,a
LNNL,33.1,1983-01-01,a
LOJE,3.1,1983-01-01,a
DIX4,78.5,1984-01-01,a
DJ4J,3.7,1984-01-01,a
DMWN,5.6,1984-01-01,a
FZLN,58.2,1984-01-01,a
FZLR,-0.4,1984-01-01,a
FZLT,21.8,1984-01-01,a
FZLX,4.5,1984-01-01,a
LNNK,36.3,1984-01-01,a
LNNL,35,1984-01-01,a
LOJE,5.6,1984-01-01,a
DIX4,82.8,1985-01-01,a
DJ4J,5.5,1985-01-01,a
DMWN,3.8,1985-01-01,a
FZLN,57,1985-01-01,a
FZLR,-2.1,1985-01-01,a
FZLT,23.2,1985-01-01,a
FZLX,6.2,1985-01-01,a
LNNK,38.2,1985-01-01,a
LNNL,36.3,1985-01-01,a
LOJE,5.3,1985-01-01,a
DIX4,86.1,1986-01-01,a
DJ4J,3.9,1986-01-01,a
DMWN,5.7,1986-01-01,a
FZLN,57.6,1986-01-01,a
FZLR,1.1,1986-01-01,a
FZLT,25,1986-01-01,a
FZLX,7.9,1986-01-01,a
LNNK,40.3,1986-01-01,a
LNNL,38.4,1986-01-01,a
LOJE,5.3,1986-01-01,a
DIX4,88.4,1987-01-01,a
DJ4J,2.7,1987-01-01,a
DMWN,2.2,1987-01-01,a
FZLN,55.6,1987-01-01,a
FZLR,-3.4,1987-01-01,a
FZLT,26.3,1987-01-01,a
FZLX,5.1,1987-01-01,a
LNNK,41.4,1987-01-01,a
LNNL,39.2,1987-01-01,a
LOJE,2.9,1987-01-01,a
DIX4,91,1988-01-01,a
DJ4J,2.9,1988-01-01,a
DMWN,5.9,1988-01-01,a
FZLN,55.2,1988-01-01,a
FZLR,-0.7,1988-01-01,a
FZLT,28.2,1988-01-01,a
FZLX,7.2,1988-01-01,a
LNNK,44.2,1988-01-01,a
LNNL,41.6,1988-01-01,a
LOJE,6.6,1988-01-01,a
DIX4,95.5,1989-01-01,a
DJ4J,5,1989-01-01,a
DMWN,8.7,1989-01-01,a
FZLN,55.4,1989-01-01,a
FZLR,0.2,1989-01-01,a
FZLT,30.5,1989-01-01,a
FZLX,8.2,1989-01-01,a
LNNK,48.2,1989-01-01,a
LNNL,45.2,1989-01-01,a
LOJE,9,1989-01-01,a
DIX4,101.5,1990-01-01,a
DJ4J,6.3,1990-01-01,a
DMWN,9.5,1990-01-01,a
FZLN,56,1990-01-01,a
FZLR,1.1,1990-01-01,a
FZLT,33.9,1990-01-01,a
FZLX,11.1,1990-01-01,a
LNNK,52.7,1990-01-01,a
LNNL,49.5,1990-01-01,a
LOJE,9.3,1990-01-01,a
DIX4,105.7,1991-01-01,a
DJ4J,4.2,1991-01-01,a
DMWN,7.7,1991-01-01,a
FZLN,57,1991-01-01,a
FZLR,1.8,1991-01-01,a
FZLT,37.6,1991-01-01,a
FZLX,10.9,1991-01-01,a
LNNK,56.4,1991-01-01,a
LNNL,53.3,1991-01-01,a
LOJE,7.1,1991-01-01,a
DIX4,106,1992-01-01,a
DJ4J,0.2,1992-01-01,a
DMWN,3.5,1992-01-01,a
FZLN,57.2,1992-01-01,a
FZLR,0.4,1992-01-01,a
FZLT,40.1,1992-01-01,a
FZLX,6.8,1992-01-01,a
LNNK,58,1992-01-01,a
LNNL,55.1,1992-01-01,a
LOJE,2.8,1992-01-01,a
DIX4,106.3,1993-01-01,a
DJ4J,0.3,1993-01-01,a
DMWN,1.2,1993-01-01,a
FZLN,55.9,1993-01-01,a
FZLR,-2.3,1993-01-01,a
FZLT,42,1993-01-01,a
FZLX,4.5,1993-01-01,a
LNNK,58.2,1993-01-01,a
LNNL,55.8,1993-01-01,a
LOJE,0.5,1993-01-01,a
DIX4,108.1,1994-01-01,a
DJ4J,1.7,1994-01-01,a
DMWN,0.2,1994-01-01,a
FZLN,55,1994-01-01,a
FZLR,-1.6,1994-01-01,a
FZLT,42.8,1994-01-01,a
FZLX,2.1,1994-01-01,a
LNNK,58.5,1994-01-01,a
LNNL,55.9,1994-01-01,a
LOJE,0.4,1994-01-01,a
DIX4,114.4,1995-01-01,a
DJ4J,5.8,1995-01-01,a
DMWN,2.7,1995-01-01,a
FZLN,55,1995-01-01,a
FZLR,0,1995-01-01,a
FZLT,44.2,1995-01-01,a
FZLX,3.3,1995-01-01,a
LNNK,60,1995-01-01,a
LNNL,57.4,1995-01-01,a
LOJE,2.6,1995-01-01,a
DIX4,119.5,1996-01-01,a
DJ4J,4.4,1996-01-01,a
DMWN,3.3,1996-01-01,a
FZLN,53.9,1996-01-01,a
FZLR,-2.1,1996-01-01,a
FZLT,46,1996-01-01,a
FZLX,4,1996-01-01,a
LNNK,61.8,1996-01-01,a
LNNL,59.3,1996-01-01,a
LOJE,3,1996-01-01,a
DIX4,123.5,1997-01-01,a
DJ4J,3.4,1997-01-01,a
DMWN,4.3,1997-01-01,a
FZLN,55.3,1997-01-01,a
FZLR,2.6,1997-01-01,a
FZLT,48.4,1997-01-01,a
FZLX,5.2,1997-01-01,a
LNNK,65.3,1997-01-01,a
LNNL,61.9,1997-01-01,a
LOJE,5.7,1997-01-01,a
DIX4,123.4,1998-01-01,a
DJ4J,-0.1,1998-01-01,a
DMWN,2,1998-01-01,a
FZLN,55.6,1998-01-01,a
FZLR,0.7,1998-01-01,a
FZLT,50.5,1998-01-01,a
FZLX,4.4,1998-01-01,a
LNNK,66.3,1998-01-01,a
LNNL,63.1,1998-01-01,a
LOJE,1.6,1998-01-01,a
DIX4,118.2,1999-01-01,a
DJ4J,-4.3,1999-01-01,a
DMWN,4.9,1999-01-01,a
FZLN,57.8,1999-01-01,a
FZLR,4,1999-01-01,a
FZLT,54.1,1999-01-01,a
FZLX,7.2,1999-01-01,a
LNNK,69.3,1999-01-01,a
LNNL,66.2,1999-01-01,a
LOJE,4.6,1999-01-01,a
DIX4,113.7,2000-01-01,a
DJ4J,-3.8,2000-01-01,a
DMWN,2.9,2000-01-01,a
FZLN,58.9,2000-01-01,a
FZLR,1.8,2000-01-01,a
FZLT,57.9,2000-01-01,a
FZLX,7,2000-01-01,a
LNNK,70.8,2000-01-01,a
LNNL,68.1,2000-01-01,a
LOJE,2.2,2000-01-01,a
DIX4,110,2001-01-01,a
DJ4J,-3.3,2001-01-01,a
DMWN,4.2,2001-01-01,a
FZLN,60.1,2001-01-01,a
FZLR,2,2001-01-01,a
FZLT,61,2001-01-01,a
FZLX,5.4,2001-01-01,a
