variable,value,dates.date,dates.freq
KB8M,0,1949-01-01,a
KG6O,17.4,1949-01-01,a
KG7N,13.5,1949-01-01,a
KG9K,13.7,1949-01-01,a
KG9L,11.8,1949-01-01,a
KG9W,7.8,1949-01-01,a
KG9X,10.9,1949-01-01,a
KGI3,6.8,1949-01-01,a
KGL6,7.2,1949-01-01,a
KGM4,3.4,1949-01-01,a
KGM7,3.7,1949-01-01,a
KGV7,7,1949-01-01,a
KGW5,3.7,1949-01-01,a
KGX3,5.7,1949-01-01,a
KGX9,2.5,1949-01-01,a
KGY7,4.4,1949-01-01,a
KGZ5,1.8,1949-01-01,a
KGZ8,8.3,1949-01-01,a
KH26,5,1949-01-01,a
KH2C,11.4,1949-01-01,a
KH2I,5.6,1949-01-01,a
KH2O,13.5,1949-01-01,a
KH2U,10.4,1949-01-01,a
KH35,12.9,1949-01-01,a
KH3B,8.8,1949-01-01,a
KH3H,10.9,1949-01-01,a
KH3N,7.4,1949-01-01,a
KH3W,8.5,1949-01-01,a
KH44,6.3,1949-01-01,a
KH47,6.8,1949-01-01,a
KH4D,3.2,1949-01-01,a
KH4V,13,1949-01-01,a
KH53,35.8,1949-01-01,a
KH59,9.9,1949-01-01,a
KH5L,4.1,1949-01-01,a
KH65,1.7,1949-01-01,a
KH68,7.9,1949-01-01,a
KH6E,4.4,1949-01-01,a
KH6N,7.9,1949-01-01,a
KH6T,5.8,1949-01-01,a
KH74,6.2,1949-01-01,a
KH7D,3.2,1949-01-01,a
NHCZ,77,1949-01-01,a
NMRP,2087,1949-01-01,a
NMRY,122434,1949-01-01,a
NPJQ,0,1949-01-01,a
NPJR,0,1949-01-01,a
NPQS,1237,1949-01-01,a
NPQT,31214,1949-01-01,a
NTAB,1837,1949-01-01,a
NTAO,50047,1949-01-01,a
NTAP,1045,1949-01-01,a
YBEU,0.5,1949-01-01,a
YBEX,0.6,1949-01-01,a
YBEZ,17.6,1949-01-01,a
YBFR,17.2,1949-01-01,a
YBFV,3.2,1949-01-01,a
YBGB,3.1,1949-01-01,a
YBHA,12172,1949-01-01,a
YBIL,12226,1949-01-01,a
YBIM,383214,1949-01-01,a
AAXW,476,1950-01-01,a
ABJQ,9299,1950-01-01,a
ABJR,239639,1950-01-01,a
ABMF,15746,1950-01-01,a
ABMG,432086,1950-01-01,a
ABMI,407268,1950-01-01,a
ABML,11582,1950-01-01,a
ABMM,357547,1950-01-01,a
ABMZ,13099,1950-01-01,a
BKTL,12742,1950-01-01,a
BOKG,2295,1950-01-01,a
BOKH,2347,1950-01-01,a
BOKI,-52,1950-01-01,a
BQKO,26502,1950-01-01,a
BQKQ,28958,1950-01-01,a
CAEQ,413,1950-01-01,a
CAER,1790,1950-01-01,a
CAEX,-210,1950-01-01,a
CAFU,-6389,1950-01-01,a
CAGQ,11487,1950-01-01,a
CAGR,354511,1950-01-01,a
CAGS,11729,1950-01-01,a
CGBV,3.2,1950-01-01,a
CGBX,1510,1950-01-01,a
CGBZ,2287,1950-01-01,a
CGCB,11465,1950-01-01,a
CGCE,17.9,1950-01-01,a
CMVL,1424,1950-01-01,a
CWNE,7.2,1950-01-01,a
CWNH,5.1,1950-01-01,a
DJDS,-242,1950-01-01,a
DMUM,0,1950-01-01,a
DMUN,0,1950-01-01,a
DMUQ,0,1950-01-01,a
DTWL,7194,1950-01-01,a
DTWM,7668,1950-01-01,a
DTWP,474,1950-01-01,a
GDPQ,3.3,1950-01-01,a
GIXM,95,1950-01-01,a
GIXQ,-147,1950-01-01,a
GIXS,3036,1950-01-01,a
HAYE,42,1950-01-01,a
HAYO,13763,1950-01-01,a
IHXW,0,1950-01-01,a
IHYA,0.6,1950-01-01,a
IHYB,0.6,1950-01-01,a
IHYC,17.8,1950-01-01,a
IHYD,18.1,1950-01-01,a
IHYM,4.7,1950-01-01,a
IHYP,3.3,1950-01-01,a
IHYS,1.3,1950-01-01,a
IKBB,760,1950-01-01,a
IKBC,752,1950-01-01,a
IKBD,8,1950-01-01,a
IKBE,29118,1950-01-01,a
IKBF,21258,1950-01-01,a
IKBH,3055,1950-01-01,a
IKBI,3099,1950-01-01,a
IKBJ,-44,1950-01-01,a
IKBK,52785,1950-01-01,a
IKBL,43506,1950-01-01,a
IKBM,9279,1950-01-01,a
JJDC,3.4,1950-01-01,a
JJDU,-9.5,1950-01-01,a
KB7D,-17,1950-01-01,a
KB7E,0,1950-01-01,a
KB7F,-17,1950-01-01,a
KB7K,0,1950-01-01,a
KB7L,0,1950-01-01,a
KB7M,5,1950-01-01,a
KB7N,0,1950-01-01,a
KB7O,0,1950-01-01,a
KB7P,0,1950-01-01,a
KB7Q,5,1950-01-01,a
KB7R,-5,1950-01-01,a
KB7S,0,1950-01-01,a
KB7T,-17,1950-01-01,a
KB7U,-1,1950-01-01,a
KB7V,-4,1950-01-01,a
KB7W,0,1950-01-01,a
KB7X,-5,1950-01-01,a
KB7Y,5,1950-01-01,a
KB7Z,-17,1950-01-01,a
KB82,-0.1,1950-01-01,a
KB8E,0,1950-01-01,a
KB8G,0,1950-01-01,a
KB8H,0,1950-01-01,a
KB8I,0,1950-01-01,a
KB8J,0,1950-01-01,a
KB8K,0,1950-01-01,a
KB8L,0.1,1950-01-01,a
KB8M,0,1950-01-01,a
KG6O,12.3,1950-01-01,a
KG7N,8.9,1950-01-01,a
KG9K,21.2,1950-01-01,a
KG9L,15.7,1950-01-01,a
KG9W,0.8,1950-01-01,a
KG9X,14.2,1950-01-01,a
KGI3,5.2,1950-01-01,a
KGL6,4.1,1950-01-01,a
KGM4,0.9,1950-01-01,a
KGM7,3.2,1950-01-01,a
KGV7,6.6,1950-01-01,a
KGW5,3,1950-01-01,a
KGX3,3.8,1950-01-01,a
KGX9,0.8,1950-01-01,a
KGY7,5.7,1950-01-01,a
KGZ5,2.8,1950-01-01,a
KGZ8,7.7,1950-01-01,a
KH26,7.3,1950-01-01,a
KH2C,4,1950-01-01,a
KH2I,-0,1950-01-01,a
KH2O,19.9,1950-01-01,a
KH2U,13.7,1950-01-01,a
KH35,15.9,1950-01-01,a
KH3B,12,1950-01-01,a
KH3H,14.1,1950-01-01,a
KH3N,0.6,1950-01-01,a
KH3W,9.1,1950-01-01,a
KH44,-0.2,1950-01-01,a
KH47,4.3,1950-01-01,a
KH4D,3.4,1950-01-01,a
KH4V,-0.2,1950-01-01,a
