code,name,unit,preunit
ESLI,PPI INDEX IMPORT NEU - C2314 Glass fibres 2015=100,NA,NA
ESLJ,"PPI INDEX IMPORT NEU - C2319 Other processed glass, including technical glassware 2015=100",NA,NA
ESLN,PPI INDEX IMPORT NEU - C2341 Ceramic household and ornamental articles 2015=100,NA,NA
ESLO,PPI INDEX IMPORT NEU - C2342 Ceramic sanitary fixtures 2015=100,NA,NA
ESM6,"PPI INDEX IMPORT NEU - C2370 Cut, shaped and finished stone 2015=100",NA,NA
ESMC,PPI INDEX IMPORT NEU - C2410 Basic iron and steel and ferro-alloys 2015=100,NA,NA
ESMD,"PPI INDEX IMPORT NEU - C2420 Tubes, pipes, hollow profiles and related fittings, of steel 2015=100",NA,NA
ESMJ,PPI INDEX IMPORT NEU - C2442 Aluminium 2015=100,NA,NA
ESMM,PPI INDEX IMPORT NEU - C2445 Other non-ferrous metal 2015=100,NA,NA
ETP9,PPI INDEX IMPORT NEU - C2630 Communication equipment 2015=100,NA,NA
ETQ2,PPI INDEX IMPORT NEU - C2640 Consumer electronics 2015=100,NA,NA
ETQ8,"PPI INDEX IMPORT NEU - C2651 Measuring, testing and navigating equipment 2015=100",NA,NA
ETW9,PPI INDEX IMPORT NEU - C2720 Batteries and accumulators 2015=100,NA,NA
ETX6,PPI INDEX IMPORT NEU - C2751 Electric domestic appliances 2015=100,NA,NA
ETX7,PPI INDEX IMPORT NEU - C2752 Non-electric domestic appliances 2015=100,NA,NA
ETX8,PPI INDEX IMPORT NEU - C2790 Other electrical equipment 2015=100,NA,NA
ETY4,PPI INDEX IMPORT NEU - C2813 Other pumps and compressors 2015=100,NA,NA
ETY5,PPI INDEX IMPORT NEU - C2814 Other taps and valves 2015=100,NA,NA
ETZ3,PPI INDEX IMPORT NEU - C2825 Non-domestic cooling and ventilation equipment 2015=100,NA,NA
ETZ6,PPI INDEX IMPORT NEU - C2841 Metal forming machinery 2015=100,NA,NA
ETZ7,PPI INDEX IMPORT NEU - C2849 Other machine tools 2015=100,NA,NA
ETZ9,"PPI INDEX IMPORT NEU - C2892 Machinery for mining, quarrying and construction 2015=100",NA,NA
EU2K,PPI INDEX IMPORT NEU - C2931 Electrical and electronic equipment for motor vehicles 2015=100,NA,NA
EU2L,PPI INDEX IMPORT NEU - C2932 Other parts and accessories for motor vehicles 2015=100,NA,NA
EU6K,PPI INDEX IMPORT NEU - C3220 Musical instruments 2015=100,NA,NA
EU6N,PPI INDEX IMPORT NEU - C3250 Medical and dental instruments and supplies 2015=100,NA,NA
EUAY,PPI INDEX EXPORT EU - C1011 Processed and preserved meat 2015=100,NA,NA
EUBP,"PPI INDEX EXPORT EU - C1020 Processed and preserved fish, crustaceans and molluscs 2015=100",NA,NA
EUBS,PPI INDEX EXPORT EU - C1039 Other processed and preserved fruit and vegetables 2015=100,NA,NA
EUCC,PPI INDEX EXPORT EU - C1061 Grain mill products 2015=100,NA,NA
EUCF,PPI INDEX EXPORT EU - C1072 Rusks and biscuits; preserved pastry goods and cakes 2015=100,NA,NA
EUCI,"PPI INDEX EXPORT EU - C1082 Cocoa, chocolate and sugar confectionery 2015=100",NA,NA
EUCK,PPI INDEX EXPORT EU - C1084 Condiments and seasonings 2015=100,NA,NA
EUCN,PPI INDEX EXPORT EU - C1089 Other food products n.e.c. 2015=100,NA,NA
EUCY,PPI INDEX EXPORT EU - C1310 Textile yarn and thread 2015=100,NA,NA
EUCZ,PPI INDEX EXPORT EU - C1320 Woven textiles 2015=100,NA,NA
EUDB,"PPI INDEX EXPORT EU - C1392 Made-up textile articles, except apparel 2015=100",NA,NA
EUDD,"PPI INDEX EXPORT EU - C1394 Cordage, rope, twine and netting 2015=100",NA,NA
EUDE,"PPI INDEX EXPORT EU - C1395 Non-wovens and articles made from non-wovens, except apparel 2015=100",NA,NA
EUDF,PPI INDEX EXPORT EU - C1396 Other technical and industrial textiles 2015=100,NA,NA
EUDL,PPI INDEX EXPORT EU - C1419 Other wearing apparel and accessories 2015=100,NA,NA
EUDS,"PPI INDEX EXPORT EU - C1610 Wood, sawn and planed 2015=100",NA,NA
EUDZ,PPI INDEX EXPORT EU - C1712 Paper and paperboard 2015=100,NA,NA
EUEA,PPI INDEX EXPORT EU - C1721 Corrugated paper and paperboard and containers of paper and paperboard 2015=100,NA,NA
EUEE,PPI INDEX EXPORT EU - C1729 Other articles of paper and paperboard 2015=100,NA,NA
EUEN,PPI INDEX EXPORT EU - C2012 Dyes and pigments 2015=100,NA,NA
EUEP,PPI INDEX EXPORT EU - C2014 Other organic basic chemicals 2015=100,NA,NA
EUER,PPI INDEX EXPORT EU - C2016 Plastics in primary forms 2015=100,NA,NA
EUES,PPI INDEX EXPORT EU - C2017 Synthetic rubber in primary forms 2015=100,NA,NA
EUEU,"PPI INDEX EXPORT EU - C2030 Paints, varnishes and similar coatings, printing ink and mastics 2015=100",NA,NA
EUEV,"PPI INDEX EXPORT EU - C2041 Soap and detergents, cleaning and polishing preparations 2015=100",NA,NA
EUEW,PPI INDEX EXPORT EU - C2042 Perfumes and toilet preparations 2015=100,NA,NA
EUEY,PPI INDEX EXPORT EU - C2052 Glues 2015=100,NA,NA
EUEZ,PPI INDEX EXPORT EU - C2053 Essential oils 2015=100,NA,NA
EUFA,PPI INDEX EXPORT EU - C2059 Other chemical products n.e.c. 2015=100,NA,NA
EUFB,PPI INDEX EXPORT EU - C2060 Man-made fibres 2015=100,NA,NA
EUFD,PPI INDEX EXPORT EU - C2120 Pharmaceutical preparations 2015=100,NA,NA
EUFH,PPI INDEX EXPORT EU - C2219 Other rubber products 2015=100,NA,NA
EUFI,"PPI INDEX EXPORT EU - C2221 Plastic plates, sheets, tubes and profiles 2015=100",NA,NA
EUFJ,PPI INDEX EXPORT EU - C2222 Plastic packing goods 2015=100,NA,NA
EUFL,PPI INDEX EXPORT EU - C2229 Other plastic products 2015=100,NA,NA
EUFP,PPI INDEX EXPORT EU - C2314 Glass fibres 2015=100,NA,NA
EUFQ,"PPI INDEX EXPORT EU - C2319 Other processed glass, including technical glassware 2015=100",NA,NA
EUFR,PPI INDEX EXPORT EU - C2320 Refractory products 2015=100,NA,NA
EUGL,PPI INDEX EXPORT EU - C2399 Other non-metallic mineral products n.e.c. 2015=100,NA,NA
EUGN,"PPI INDEX EXPORT EU - C2420 Tubes, pipes, hollow profiles and related fittings, of steel 2015=100",NA,NA
EUGT,PPI INDEX EXPORT EU - C2442 Aluminium 2015=100,NA,NA
EUGV,PPI INDEX EXPORT EU - C2444 Copper 2015=100,NA,NA
EUGW,PPI INDEX EXPORT EU - C2445 Other non-ferrous metal 2015=100,NA,NA
EUHC,PPI INDEX EXPORT EU - C2511 Metal structures and parts of structures 2015=100,NA,NA
EUHF,PPI INDEX EXPORT EU - C2512 Doors and windows of metal 2015=100,NA,NA
EUHH,"PPI INDEX EXPORT EU - C2529 Other tanks, reservoirs and containers of metal 2015=100",NA,NA
EUHP,PPI INDEX EXPORT EU - C2573 Tools 2015=100,NA,NA
EUHR,PPI INDEX EXPORT EU - C2592 Light metal packaging 2015=100,NA,NA
EUHS,"PPI INDEX EXPORT EU - C2593 Wire products, chain and springs 2015=100",NA,NA
EUHT,PPI INDEX EXPORT EU - C2594 Fasteners and screw machine products 2015=100,NA,NA
EUHU,PPI INDEX EXPORT EU - C2599 Other fabricated metal products n.e.c. 2015=100,NA,NA
EUHV,PPI INDEX EXPORT EU - C2611 Electronic components 2015=100,NA,NA
EUHX,PPI INDEX EXPORT EU - C2620 Computers and peripheral equipment 2015=100,NA,NA
EUHZ,PPI INDEX EXPORT EU - C2640 Consumer electronics 2015=100,NA,NA
EUIA,"PPI INDEX EXPORT EU - C2651 Measuring, testing and navigating equipment 2015=100",NA,NA
EUIE,"PPI INDEX EXPORT EU - C2660 Irradiation, electromedical and electrotherapeutic equipment 2015=100",NA,NA
EUIH,"PPI INDEX EXPORT EU - C2711 Electric motors, generators and transformers 2015=100",NA,NA
EUII,PPI INDEX EXPORT EU - C2712 Electricity distribution and control apparatus 2015=100,NA,NA
EUIM,PPI INDEX EXPORT EU - C2733 Wiring devices 2015=100,NA,NA
EUIN,PPI INDEX EXPORT EU - C2740 Electric lighting equipment 2015=100,NA,NA
EUIO,PPI INDEX EXPORT EU - C2751 Electric domestic appliances 2015=100,NA,NA
EUIQ,PPI INDEX EXPORT EU - C2790 Other electrical equipment 2015=100,NA,NA
EUIR,"PPI INDEX EXPORT EU - C2811 Engines and turbines, except aircraft, vehicle and cycle engines 2015=100",NA,NA
EUIT,PPI INDEX EXPORT EU - C2813 Other pumps and compressors 2015=100,NA,NA
EUIV,"PPI INDEX EXPORT EU - C2815 Bearings, gears, gearing and driving elements 2015=100",NA,NA
