code,name,unit,preunit
EAID,RSI:Household goods stores:All Business:VAL NSA:%change on same month a year ago,%,NA
EAIF,RSI:Other non-food stores:All Business:VAL NSA:%change on same month a year ago,%,NA
EAIK,RSI:Non-Special Food stores (val nsa):All Business %,%,NA
EAIL,RSI:Non-Special Food stores (val nsa) Large Business %,%,NA
EAIM,RSI:Non-Special Food stores (val nsa) Small Business %,%,NA
EAIN,RSI:Non-Specialised stores:All Business:VAL NSA:%change on same month a year ago,%,NA
EAIO,RSI:Non-Specialised Non Food stores (val nsa) Large Business %,%,NA
EAIP,RSI:Non-Specialised Non Food stores (val nsa) Small Business %,%,NA
EAIQ,RSI:Retail sale of clothing (val nsa):All Business %,%,NA
EAIR,RSI:Retail sale of clothing (val nsa) Large Business %,%,NA
EAIS,RSI:Retail sale of clothing (val nsa) Small Business %,%,NA
EAIT,RSI:Predominantly food stores (val nsa) Large Business %,%,NA
EAIU,RSI:Predominantly food stores (val nsa) Small Business %,%,NA
EAIV,RSI:Predominantly non-food stores (val nsa) Large Business %,%,NA
EAIW,RSI:Predominantly non-food stores (val nsa) Small Business %,%,NA
EAIX,RSI:Textiles:Cloth:Foot & Leather (val nsa) Large Business %,%,NA
EAIY,RSI:Textiles:clothing:footwear & leather goods(val nsa)Small Business%,%,NA
EAIZ,RSI:Household goods stores (val nsa) Large Business %,%,NA
EAJA,RSI:Household goods stores (val nsa) Small Business %,%,NA
EAJB,RSI:other Specialised non-food stores (val nsa) Large Business %,%,NA
EAJC,RSI:other Specialised non-food stores (val nsa) Small Business %,%,NA
EAJF,RSI:Pred Food stores:All Business:VOL NSA:%change on same month a year ago,%,NA
EAJG,RSI:Pred non-food stores:All Business:VOL NSA:%change on same month a year ago,%,NA
EAJH,"RSI:Textile,clothing&footwearAll Bus:VOL NSA:%change on same month a year ago",%,NA
EAJI,RSI:Household goods stores:All Business:VOL NSA:%change on same month a year ago,%,NA
EAJJ,RSI:Other non-food stores:All Business:VOL NSA:%change on same month a year ago,%,NA
EAJO,RSI:Retail non-Specialised food stores (vol nsa):All Business %,%,NA
EAJP,RSI:Retail non-Specialised food stores (vol nsa) Large Business %,%,NA
EAJQ,RSI:Retail non-Specialised food stores (vol nsa) Small Business %,%,NA
EAJR,RSI:Non-Specialised stores:All Business:VOL NSA:%change on same month a year ago,%,NA
EAJS,RSI:Non-Specialised Non Food stores (vol nsa) Large Business %,%,NA
EAJT,RSI:Non-Specialised Non Food stores (vol nsa) Small Business %,%,NA
EAJU,RSI:Retail sale of clothing (vol nsa):All Business %,%,NA
EAJV,RSI:Retail sale of clothing (vol nsa) Large Business %,%,NA
EAJW,RSI:Retail sale of clothing (vol nsa) Small Business %,%,NA
EAJX,RSI:Predominantly Food stores (vol nsa) Large Business %,%,NA
EAJY,RSI:Predominantly Food stores (vol nsa) Small Business %,%,NA
EAJZ,RSI:Predominantly non-food stores (vol nsa) Large Business %,%,NA
EAKA,RSI:Predominantly non-food stores (vol nsa) Small Business %,%,NA
EAKB,RSI:textiles:clothing:footwear & leather goods(vol nsa)Large Business %,%,NA
EAKC,RSI:textiles:clothing:footwear & leather goods(vol nsa)Small Business %,%,NA
EAKD,RSI:Household goods stores (vol nsa) Large Business %,%,NA
EAKE,RSI:Household goods stores (vol nsa) Small Business %,%,NA
EAKF,RSI:Other non-food stores (vol nsa) Large Business %,%,NA
EAKG,RSI:Other non-food stores (vol nsa) Small Business %,%,NA
EAPG,RSI:Retail sale of textiles (val nsa):All Business Index,NA,NA
EAPH,RSI:Retail of footwear & leather goods (val nsa):All Business Index,NA,NA
EAPI,RSI:Retail Furniture & Lighting (val nsa):All Business Index,NA,NA
EAPK,"RSI:Retail hardware, paints & glass (val nsa):All Business Index",NA,NA
EAPM,RSI:Retail sale of Floorcoverings (val nsa):All Business Index,NA,NA
EAPN,RSI:Retail sale via mail order houses (val nsa):All Business Index,NA,NA
EAPO,RSI:Non-store retail exc mail order (val nsa):All Business Index,NA,NA
EAPQ,RSI:Pharmaceutical:Medical & Toilet (val nsa):All Business Index,NA,NA
EAPT,RSI:Predominantly food stores (vol sa):All Business Index,NA,NA
EAPU,RSI:Non-specialised stores (vol sa):All Business Index,NA,NA
EAPV,RSI:Predominantly non-food stores (vol sa):All Business Index,NA,NA
EAPW,RSI:Other non-food stores (vol sa):All Business Index,NA,NA
EAPX,RSI:textiles:clothing:footwear (vol sa):All Business Index,NA,NA
EAPY,RSI:Household goods stores (vol sa):All Business Index,NA,NA
EAQI,RSI:Retail sale of textiles (vol nsa):All Business Index,NA,NA
EAQJ,RSI:Retail of footwear & leather goods (vol nsa):All Business Index,NA,NA
EAQK,RSI:Retail Furniture & Lighting (vol nsa):All Business Index,NA,NA
EAQM,"RSI:Retail hardware, paints & glass (vol nsa):All Business Index",NA,NA
EAQO,RSI:Retail sale of Floorcoverings (vol nsa):All Business Index,NA,NA
EAQP,RSI:Retail sale via mail order houses (vol nsa):All Business Index,NA,NA
EAQQ,RSI:Non-store Retail exc mail order (vol nsa):All Business Index,NA,NA
EAQS,RSI:Pharmaceutical:Medical & Toilet (vol nsa):All Business Index,NA,NA
EAQW,RSI:Predominantly food stores (val sa):All Business Index,NA,NA
EAQX,RSI:Non-specialised stores (val sa):All Business Index,NA,NA
EAQY,RSI:Predominantly non-food stores (valsa):All Business Index,NA,NA
EAQZ,RSI:Other non-food stores (val sa):All Business Index,NA,NA
EARA,"RSI:Textiles, clothing & footwear (val sa):All Business Index",NA,NA
EARB,RSI:Household goods stores (val sa):All Business Index,NA,NA
EARK,RSI:Retail sale of textiles (val nsa):All Business %,%,NA
EARL,RSI:Retail of footwear & leather goods (val nsa):All Business %,%,NA
EARM,RSI:Retail Furniture & Lighting (val nsa):All Business %,%,NA
EARO,"RSI:Retail hardware, paints & glass (val nsa):All Business %",%,NA
EARQ,RSI:Retail sale via mail order houses (val nsa):All Business %,%,NA
EARR,RSI:Non-store retail exc mail order (val nsa):All Business %,%,NA
EART,RSI:Pharmaceutical:Medical & Toilet Goods (val nsa):All Business %,%,NA
EASE,RSI:Retail sale of textiles (vol nsa):All Business %,%,NA
EASF,RSI:Retail of footwear & leather goods (vol nsa):All Business %,%,NA
EASG,RSI:Retail Furniture & Lighting (vol nsa):All Business %,%,NA
EASI,"RSI:Retail hardware, paints & glass (vol nsa):All Business %",%,NA
EASK,RSI:Retail sale via mail order houses (vol nsa):All Business %,%,NA
EASL,RSI:Non-store Retail exc mail order (vol nsa):All Business %,%,NA
EASN,RSI:Pharmaceutical:Medical & Toilet goods (vol nsa):All Business %,%,NA
EAVP,RSI:Retail sale of Floorcoverings (vol nsa):All Business %,%,NA
EAWF,RSI:Retail sale of floorcoverings (val nsa):All Business %,%,NA
EAWN,Monthly commodity inquiry:value NSA:food drink & tobacco Index,NA,NA
EAWO,Monthly commodity inquiry:value NSA clothing & footwear Index,NA,NA
EAWP,Monthly commodity inquiry:value NSA household goods Index,NA,NA
EAWQ,Monthly commodity inquiry:value NSA other non-food Index,NA,NA
GDIU,RSI:Year to date index:Predominantly food stores:All Business,NA,NA
GDIV,RSI:Year to date % change:Predominantly food stores:All Business,%,NA
GDIW,RSI:Year to date index:Predominantly food stores:Small Business,NA,NA
GDIX,RSI:Year to date % change:Predominantly food stores:Small Business,%,NA
GDIY,RSI:Year to date index:Predominantly food stores:Large Business,NA,NA
GDIZ,RSI:Year to date % change:Predominantly food stores:Large Business,%,NA
GDJA,RSI:Year to date index:non-Specialised food stores:All Business,NA,NA
GDJB,RSI:Year to date % change:non-Specialised food stores:All Business,%,NA
GDJC,RSI:Year to date index:non-Specialised food stores:Small Business,NA,NA
GDJD,RSI:Year to date % change:non-Specialised food stores:Small Business,%,NA
GDJE,RSI:Year to date index:non-specialised food stores:Large Business,NA,NA
GDJF,"RSI:Year to date %change:Non-spec stores (food,beverages,tobacco):Large Business",%,NA
GDLC,RSI:Year to date index:Predominantly non-food stores:All Business,NA,NA
GDLD,RSI:Year to date % change:Predominantly non-food stores:All Business,%,NA
GDLE,RSI:Year to date index:Predominantly non-food stores:Small Business,NA,NA
GDLF,RSI:Year to date % change:Predominantly non-food stores:Small Business,%,NA
GDLG,RSI:Year to date index:Predominantly non-food stores:Large Business,NA,NA
GDLH,RSI:Year to date % change:Predominantly non-food stores:Large Business,%,NA
GDLI,RSI:Year to date index:non specialised stores:All Business,NA,NA
GDLJ,RSI:Year to date % change:non specialised stores:All Business,%,NA
GDLK,RSI:Year to date index:non specialised stores:Small Business,NA,NA
GDLL,RSI:Year to date % change:non specialised stores:Small Business,%,NA
GDLM,RSI:Year to date index:non specialised stores:Large Business,NA,NA
GDLN,RSI:Year to date % change:Non-specialised stores:Large Business,%,NA
GDLO,"RSI:Year to date index:textiles, clothing & footwear:All Business",NA,NA
GDLP,"RSI:Year to date % change:textiles, clothing & footwear:All Business",%,NA
GDLQ,"RSI:Year to date index:textiles, clothing & footwear:Small Business",NA,NA
GDLR,"RSI:Year to date % change:textiles, clothing & footwear:Small Business",%,NA
GDLS,"RSI:Year to date index:textiles, clothing & footwear:Large Business",NA,NA
GDLT,"RSI:Year to date % change:textiles, clothing & footwear:Large Business",%,NA
GDLU,RSI:Year to date index:textiles:All Business,NA,NA
GDLV,RSI:Year to date % change:textiles:All Business,%,NA
GDMA,RSI:Year to date index:clothing:All Business,NA,NA
GDMB,RSI:Year to date % change:clothing:All Business,%,NA
GDMC,RSI:Year to date index:clothing:Small Business,NA,NA
GDMD,RSI:Year to date % change:clothing:Small Business,%,NA
GDME,RSI:Year to date index:clothing:Large Business,NA,NA
GDMF,RSI:Year to date % change:clothing:Large Business,%,NA
GDMG,RSI:Year to date index:footwear & leather goods:All Business,NA,NA
GDMH,RSI:Year to date % change:footwear & leather goods:All Business,%,NA
GDMM,RSI:Year to date index:household goods:All Business,NA,NA
GDMN,RSI:Year to date % change:household goods:All Business,%,NA
GDMO,RSI:Year to date index:household goods:Small Business,NA,NA
GDMP,RSI:Year to date % change:household goods:Small Business,%,NA
GDMQ,RSI:Year to date index:household goods:Large Business,NA,NA
GDMR,RSI:Year to date % change:household goods:Large Business,%,NA
GDMS,"RSI:Year to date index:furniture, lighting etc:All Business",NA,NA
GDMT,"RSI:Year to date % change:furniture, lighting etc:All Business",%,NA
GDNE,"RSI:Year to date index:hardware, paints & glass:All Business",NA,NA
GDNF,"RSI:Year to date % change:hardware, paints & glass:All Business",%,NA
GDNK,RSI:Year to date index:Other non-food stores:All Business,NA,NA
GDNL,RSI:Year to date % change:Other non-food stores:All Business,%,NA
GDNM,RSI:Year to date index:Other non-food stores:Small Business,NA,NA
GDNN,RSI:Year to date % change:Other non-food stores:Small Business,%,NA
GDNO,RSI:Year to date index:Other non-food stores:Large Business,NA,NA
GDNP,RSI:Year to date % change:Other non-food stores:Large Business,%,NA
GDNQ,"RSI:Year to date index:pharm, medical & cosmetics:All Business",NA,NA
GDNR,"RSI:Year to date % change:pharm, medical & cosmetics:All Business",%,NA
GDOC,RSI:Year to date index:floor coverings:All Business,NA,NA
GDOD,RSI:Year to date % change:floor coverings:All Business,%,NA
GFXI,RSI:Year to date index:mail order:All Business,NA,NA
GFXJ,RSI:Year to date % change:mail order:All Business,%,NA
GFXO,RSI:Year to date index:non-store excl mail order:All Business,NA,NA
GFXP,RSI:Year to date % change:non-store excl mail order:All Business,%,NA
HN5T,"MCI:value NSA:food, drink & tobacco:rolling 3month on same year ago % change",%,NA
HN5U,MCI:value NSA:clothing & footwear:rolling 3month on same year ago % change,%,NA
HN5V,MCI:value NSA:household goods:rolling 3month on same year ago % change,%,NA
HN5W,MCI:value NSA:other non-food:rolling 3month on same year ago % change,%,NA
HN5X,"MCI:value NSA:food, drink & tobacco: month on same month a year ago %change",%,NA
HN5Y,MCI:value NSA:clothing & footwear: month on same month a year ago %change,%,NA
HN5Z,MCI:value NSA:household goods: month on same month a year ago %change,%,NA
HN62,MCI:value NSA:other non-food: month on same month a year ago %change,%,NA
IDIE,RSI:Non-Specialised stores:All Business:VAL SA:percentage on year earlier,%,NA
IDIF,RSI:Pred Food stores:All Business:VAL SA:percentage on year earlier,%,NA
IDIG,RSI:Pred non-food stores:All Business:VAL SA:percentage on year earlier,%,NA
IDIH,RSI:Other non-food stores:All Business:VAL SA:percentage on year earlier,%,NA
IDIK,"RSI:Textile,clothing&footwear:All Bus:VAL SA:percentage on year earlier",%,NA
IDIL,RSI:Household goods stores:All Business:VAL SA:percentage on year earlier,%,NA
IDOA,RSI:Non-specialised:All Business:VOL SA percentage on year earlier,%,NA
IDOB,RSI:Pred food stores:All Business:VOL SA percentage on year earlier,%,NA
IDOC,RSI:Pred non-food:All Business:VOL SA percentage on year earlier,%,NA
IDOD,RSI:Other non-food stores:All Business:VOL SA: percentage on year earlier,%,NA
IDOG,"RSI:Textile,clothing&footwear:All Bus:VOL SA percentage on year earlier",%,NA
IDOH,RSI:Household good stores:All Business:VOL SA percentage on year earlier,%,NA
IDXJ,RSI:Non-specialised:All Business:VAL NSA:Rolling 3m on same 3m a year ago %,%,NA
IDXN,RSI:Pred food stores:All Business:VAL NSA:Rolling 3m on same 3m a year ago %,%,NA
IDZU,RSI:Pred non-food stores:All Business:VAL NSA:Rolling 3m on same 3m a year ago %,%,NA
IDZY,RSI:Other non-food:All Business:VAL NSA:Rolling 3m on same 3m a year ago %,%,NA
IEAK,"RSI:Textile,clothing&footwear:All Bus:VAL NSA:Rolling 3m on same 3m a year ago %",%,NA
IEAO,RSI:Household goods:All Business:VAL NSA:Rolling 3m on same 3m a year ago %,%,NA
IEAP,RSI:Non-Specialised stores:All Business:VAL SA:Month on prev month % change,%,NA
IEAQ,RSI:Non-specialised stores:All Business:VAL SA:Rolling 3m on prev 3m %change,%,NA
IEAR,RSI:Non-specialised:All Business:VAL SA:Rolling 3m on same 3m a year ago %,%,NA
IEAS,RSI:Pred Food stores:All Business:VAL SA:Month on prev month % change,%,NA
IEAT,RSI:Pred food stores:All Business:VAL SA:Rolling 3m on prev 3m %change,%,NA
IEAU,RSI:Pred food stores:All Business:VAL SA:Rolling 3m on same 3m a year ago %,%,NA
IEAV,RSI:Pred non-food stores:All Business:VAL SA:Month on prev month % change,%,NA
IEAW,RSI:Pred non-food stores:All Business:VAL SA:Rolling 3m on prev 3m %change,%,NA
IEAX,RSI:Pred non-food stores:All Business:VAL SA:Rolling 3m on same 3m a year ago %,%,NA
IEAY,RSI:Other non-food stores:All Business:VAL SA:Month on prev month % change,%,NA
IEAZ,RSI:Other non-food stores:All Business:VAL SA:Rolling 3m on prev 3m %change,%,NA
IEBA,RSI:Other non-food stores:All Business:VAL SA:Rolling 3m on same 3m a year ago %,%,NA
IEBH,"RSI:Textile,clothing&footwear:All Bus:VAL SA:Month on prev month % change",%,NA
IEBI,"RSI:Textile,clothing&footwear:All Business:VAL SA:Rolling 3m on prev 3m %change",%,NA
